personnel_id,week,attendance_score,activity_level,performance_score,social_withdrawal,behavioral_change
P0001,1,78.9,87.5,92.1,6.1,3.6
P0001,2,90.4,93.9,75.8,2.0,1.7
P0001,3,89.0,88.9,81.7,1.4,1.0
P0001,4,97.3,79.9,78.0,3.8,3.9
P0001,5,81.4,79.7,82.3,3.0,2.0
P0001,6,86.9,87.9,81.8,1.2,3.3
P0001,7,91.5,87.7,94.5,2.6,2.2
P0001,8,92.1,74.7,89.4,3.6,3.9
P0001,9,80.2,68.5,81.4,2.7,6.0
P0001,10,83.4,80.6,88.5,1.7,3.9
P0001,11,90.3,75.2,85.8,3.7,2.4
P0001,12,91.9,81.6,71.8,4.3,3.7
P0002,1,87.3,98.7,87.6,1.9,1.3
P0002,2,89.7,81.6,86.9,6.6,3.6
P0002,3,88.7,100.0,88.7,4.4,2.8
P0002,4,91.9,100.0,77.3,1.2,1.7
P0002,5,93.2,98.6,76.3,2.6,1.9
P0002,6,90.5,100.0,77.4,4.3,1.8
P0002,7,99.5,96.5,65.9,3.3,2.8
P0002,8,82.5,95.8,78.5,5.6,1.7
P0002,9,83.2,88.4,88.4,6.7,1.3
P0002,10,94.7,82.9,66.1,1.1,3.8
P0002,11,85.2,100.0,87.4,3.5,2.3
P0002,12,91.5,100.0,76.3,2.9,1.0
P0003,1,88.9,90.2,88.1,4.5,2.1
P0003,2,92.9,89.3,62.0,3.5,1.9
P0003,3,87.9,88.0,74.7,4.8,3.1
P0003,4,92.5,87.3,68.3,3.1,2.5
P0003,5,87.5,56.6,79.7,2.4,5.8
P0003,6,82.1,84.2,75.8,5.1,2.1
P0003,7,92.4,67.0,72.2,4.1,4.2
P0003,8,87.5,88.4,90.7,2.3,2.6
P0003,9,100.0,84.0,75.7,3.8,4.9
P0003,10,94.6,90.5,70.9,5.0,2.7
P0003,11,83.9,67.3,80.6,4.2,2.7
P0003,12,94.3,74.0,73.1,3.9,3.0
P0004,1,82.1,77.3,73.6,2.0,3.0
P0004,2,95.4,82.0,76.9,3.5,3.1
P0004,3,99.2,90.0,74.0,3.3,1.8
P0004,4,87.8,93.4,98.8,3.3,1.4
P0004,5,80.3,87.6,82.8,3.3,3.1
P0004,6,92.7,92.2,76.3,3.0,1.0
P0004,7,90.7,87.7,70.6,3.3,2.4
P0004,8,77.3,97.8,94.7,1.1,2.6
P0004,9,96.0,81.0,100.0,4.5,3.8
P0004,10,90.7,78.7,71.7,4.8,2.9
P0004,11,89.4,80.0,88.1,2.8,5.5
P0004,12,93.9,78.6,75.2,4.9,3.5
P0005,1,99.4,84.3,80.0,2.2,3.1
P0005,2,94.4,60.9,79.3,3.2,4.9
P0005,3,86.3,81.5,85.6,2.7,3.5
P0005,4,80.3,94.7,80.1,3.3,4.0
P0005,5,86.0,80.9,80.7,5.7,3.0
P0005,6,94.1,81.5,92.5,3.0,2.9
P0005,7,98.5,88.1,72.1,5.4,3.4
P0005,8,87.9,72.2,96.0,3.2,4.1
P0005,9,83.0,85.4,67.6,5.3,2.1
P0005,10,97.0,81.6,61.3,5.5,2.5
P0005,11,94.9,77.9,68.1,3.0,3.0
P0005,12,95.7,75.4,83.5,5.8,3.7
P0006,1,94.3,99.2,75.2,4.4,1.5
P0006,2,86.8,99.9,79.1,4.3,1.0
P0006,3,90.1,95.6,83.7,4.1,3.5
P0006,4,92.2,95.6,83.3,3.3,3.3
P0006,5,92.7,92.1,71.3,2.1,3.0
P0006,6,93.9,93.3,76.6,5.1,1.8
P0006,7,87.2,93.6,79.0,2.1,3.2
P0006,8,95.0,100.0,75.6,1.8,2.3
P0006,9,77.6,100.0,90.0,4.1,1.0
P0006,10,92.1,74.6,80.9,2.5,3.5
P0006,11,82.4,95.6,90.9,2.4,1.0
P0006,12,98.7,88.4,89.6,4.4,2.6
P0007,1,93.8,92.0,76.7,3.6,1.5
P0007,2,94.6,89.9,62.7,4.6,2.0
P0007,3,87.9,100.0,91.4,2.9,2.3
P0007,4,86.9,95.3,79.4,3.1,1.0
P0007,5,83.1,100.0,91.7,1.7,1.4
P0007,6,89.0,82.1,82.7,3.0,3.2
P0007,7,97.3,100.0,87.2,4.4,1.2
P0007,8,83.4,98.0,79.2,3.5,1.7
P0007,9,84.3,91.4,79.8,5.8,2.3
P0007,10,84.5,81.0,87.4,4.2,3.1
P0007,11,85.1,83.8,99.6,4.8,2.2
P0007,12,96.0,94.8,76.3,4.8,4.0
P0008,1,82.8,94.5,73.3,5.1,1.9
P0008,2,83.0,84.3,56.8,4.3,3.0
P0008,3,81.7,94.3,95.3,5.6,1.0
P0008,4,89.3,100.0,86.5,3.0,2.5
P0008,5,88.8,87.5,74.6,1.2,3.4
P0008,6,94.3,94.4,61.9,3.4,2.6
P0008,7,88.8,93.1,83.4,5.6,3.0
P0008,8,97.2,100.0,96.1,4.3,1.9
P0008,9,87.9,99.9,70.2,4.7,1.1
P0008,10,90.2,94.7,98.6,3.8,3.3
P0008,11,91.7,95.3,94.4,5.0,4.0
P0008,12,85.3,87.0,96.1,3.3,2.7
P0009,1,97.8,80.6,94.0,1.9,4.1
P0009,2,85.5,83.6,93.7,3.3,4.4
P0009,3,94.2,98.5,77.7,4.2,1.0
P0009,4,90.7,99.5,77.9,1.7,2.6
P0009,5,88.0,79.6,87.7,2.7,2.9
P0009,6,91.8,88.8,78.4,1.8,2.0
P0009,7,84.3,92.9,89.9,2.7,1.2
P0009,8,83.5,82.3,85.1,2.2,3.5
P0009,9,84.4,98.7,77.4,5.4,1.2
P0009,10,81.4,100.0,62.0,5.6,1.5
P0009,11,81.0,84.1,71.5,3.7,2.7
P0009,12,92.3,83.1,76.8,3.4,4.0
P0010,1,90.8,93.6,65.0,2.0,1.0
P0010,2,100.0,99.1,75.1,2.5,1.0
P0010,3,96.2,91.9,77.7,4.0,2.9
P0010,4,92.6,91.3,65.7,6.6,1.9
P0010,5,87.1,100.0,76.8,3.0,4.1
P0010,6,94.4,100.0,81.6,3.7,3.7
P0010,7,95.4,98.5,78.9,3.7,1.4
P0010,8,84.4,100.0,74.6,5.1,2.4
P0010,9,99.6,100.0,70.4,2.2,2.7
P0010,10,92.7,94.6,67.6,3.4,3.5
P0010,11,96.6,100.0,70.4,1.7,1.5
P0010,12,97.0,100.0,68.2,2.5,1.7
P0011,1,89.7,88.9,96.8,4.3,2.1
P0011,2,83.1,86.0,69.4,4.1,2.6
P0011,3,86.3,78.8,92.8,3.8,3.2
P0011,4,88.1,79.6,83.6,1.0,3.0
P0011,5,93.3,81.0,85.1,3.0,1.1
P0011,6,89.0,83.4,72.2,3.5,2.0
P0011,7,86.2,87.8,85.8,1.0,1.8
P0011,8,100.0,88.9,76.0,1.6,3.0
P0011,9,91.8,79.2,68.1,2.8,3.3
P0011,10,82.7,96.2,78.8,5.6,3.0
P0011,11,88.2,69.9,74.4,3.9,5.8
P0011,12,95.3,89.9,90.2,4.3,2.5
P0012,1,90.6,89.8,88.0,4.8,2.9
P0012,2,92.8,93.7,97.9,5.3,2.3
P0012,3,79.4,96.5,73.3,5.0,1.0
P0012,4,88.5,87.3,79.9,4.2,2.2
P0012,5,97.0,90.2,80.7,1.8,1.3
P0012,6,100.0,87.9,90.7,4.9,2.0
P0012,7,83.1,94.1,56.8,3.8,1.2
P0012,8,84.5,92.1,76.6,2.7,2.1
P0012,9,91.5,99.5,75.5,4.0,4.3
P0012,10,94.1,77.7,70.3,4.0,2.2
P0012,11,95.9,84.4,67.5,1.9,3.1
P0012,12,88.3,77.0,89.7,3.2,5.1
P0013,1,90.5,85.8,71.6,1.4,2.8
P0013,2,92.3,84.5,87.8,4.2,2.0
P0013,3,94.0,71.7,64.7,5.3,4.5
P0013,4,94.1,89.5,75.7,1.3,2.4
P0013,5,89.6,85.8,95.4,1.0,2.8
P0013,6,88.7,80.5,92.7,1.1,4.0
P0013,7,89.2,87.9,67.0,6.6,3.0
P0013,8,94.0,98.8,87.2,4.1,1.0
P0013,9,84.1,87.4,72.9,1.6,3.8
P0013,10,93.0,84.3,82.8,6.1,3.1
P0013,11,84.4,100.0,81.2,2.0,1.0
P0013,12,91.6,90.9,65.1,2.8,2.5
P0014,1,82.0,63.8,82.3,4.8,4.2
P0014,2,88.8,75.3,92.1,3.3,2.7
P0014,3,85.2,66.6,89.6,1.1,3.3
P0014,4,84.9,78.2,79.6,3.9,3.1
P0014,5,91.5,76.2,80.0,5.2,2.9
P0014,6,98.6,78.3,83.2,2.9,2.4
P0014,7,100.0,77.5,66.9,2.1,2.5
P0014,8,92.5,69.6,65.2,3.6,4.7
P0014,9,88.6,77.9,81.7,3.5,3.3
P0014,10,90.5,85.8,83.1,1.8,2.0
P0014,11,91.9,82.9,86.5,2.7,3.0
P0014,12,92.5,84.4,87.9,1.7,3.4
P0015,1,94.8,92.8,70.2,5.2,3.3
P0015,2,94.0,71.7,84.4,1.5,2.7
P0015,3,78.1,85.5,76.2,5.3,2.3
P0015,4,93.9,80.6,82.8,4.7,3.4
P0015,5,90.4,79.8,93.5,4.3,4.1
P0015,6,86.1,87.1,79.0,3.2,2.0
P0015,7,81.0,73.8,82.2,3.9,1.9
P0015,8,83.2,72.9,83.7,1.0,4.0
P0015,9,88.6,78.0,65.2,2.8,5.0
P0015,10,85.1,85.2,100.0,1.5,4.7
P0015,11,88.3,79.2,62.1,4.0,3.0
P0015,12,99.3,82.7,69.6,3.0,2.0
P0016,1,90.5,84.3,73.7,3.3,3.3
P0016,2,89.4,88.7,75.6,3.0,1.4
P0016,3,88.4,87.5,76.6,2.8,4.0
P0016,4,83.7,77.7,87.6,3.9,3.5
P0016,5,97.8,71.0,93.8,4.2,3.5
P0016,6,90.7,88.9,66.0,2.4,1.9
P0016,7,84.9,80.2,82.5,3.1,4.7
P0016,8,89.9,84.6,77.7,4.5,1.6
P0016,9,90.1,82.5,95.3,4.2,2.4
P0016,10,99.3,100.0,86.1,1.8,1.5
P0016,11,86.4,100.0,69.7,4.8,2.5
P0016,12,90.6,86.8,85.0,2.8,4.1
P0017,1,85.4,86.0,59.7,2.1,2.0
P0017,2,88.7,91.7,87.2,3.6,1.5
P0017,3,86.3,99.9,55.6,3.0,1.5
P0017,4,94.6,100.0,86.7,4.6,1.8
P0017,5,100.0,80.9,97.9,5.0,2.0
P0017,6,91.7,91.8,99.8,4.5,1.0
P0017,7,85.1,100.0,81.8,1.7,1.1
P0017,8,99.5,89.8,69.8,3.8,1.9
P0017,9,89.4,87.7,68.8,4.0,4.0
P0017,10,90.4,98.1,100.0,5.0,1.3
P0017,11,96.1,84.8,86.4,2.9,2.4
P0017,12,92.9,85.1,80.8,2.9,3.9
P0018,1,86.4,58.0,79.3,4.8,4.4
P0018,2,96.8,73.4,100.0,2.7,3.4
P0018,3,87.1,82.4,76.1,3.1,3.7
P0018,4,94.7,73.5,88.5,6.0,4.0
P0018,5,89.4,82.6,74.2,2.2,1.5
P0018,6,87.6,63.4,64.4,2.8,5.6
P0018,7,80.8,66.0,57.3,1.8,5.5
P0018,8,83.7,72.8,51.0,5.7,5.1
P0018,9,92.5,82.7,79.5,1.2,3.3
P0018,10,79.8,86.1,80.8,2.0,5.0
P0018,11,90.4,65.1,95.0,4.6,4.3
P0018,12,85.5,80.9,81.8,3.5,3.3
P0019,1,100.0,83.1,88.6,4.3,4.3
P0019,2,82.4,92.0,84.8,1.4,2.9
P0019,3,92.4,95.3,74.3,1.6,1.8
P0019,4,92.6,91.0,77.5,4.2,3.2
P0019,5,97.9,100.0,92.8,2.5,1.4
P0019,6,86.7,82.5,56.4,4.4,2.2
P0019,7,84.5,100.0,76.5,4.6,1.5
P0019,8,88.7,89.9,71.4,4.4,3.1
P0019,9,96.3,86.9,70.4,3.7,3.7
P0019,10,80.7,87.8,75.2,5.3,3.2
P0019,11,84.2,95.5,93.7,2.4,1.0
P0019,12,89.4,77.5,83.9,2.1,4.4
P0020,1,77.4,98.0,92.4,3.7,1.4
P0020,2,87.3,82.4,77.3,4.8,4.3
P0020,3,94.8,85.4,60.8,2.9,3.6
P0020,4,96.7,87.1,74.4,2.1,2.3
P0020,5,97.0,80.5,47.7,3.7,2.7
P0020,6,92.4,94.9,90.3,3.5,1.4
P0020,7,93.3,85.8,86.0,4.0,3.1
P0020,8,91.8,79.8,86.1,1.0,4.8
P0020,9,83.2,93.0,85.5,3.4,1.8
P0020,10,84.9,97.7,68.7,6.3,1.0
P0020,11,79.1,89.5,92.9,3.1,3.5
P0020,12,84.6,91.7,71.4,5.4,2.2
P0021,1,88.0,84.5,89.1,1.0,3.4
P0021,2,99.6,80.1,80.9,5.4,3.7
P0021,3,89.5,83.0,85.4,6.6,3.5
P0021,4,92.3,96.9,64.2,4.5,4.2
P0021,5,84.9,63.0,78.3,2.0,5.1
P0021,6,88.4,85.0,81.0,2.7,2.2
P0021,7,87.9,59.1,69.7,3.5,4.5
P0021,8,85.5,78.1,79.1,2.0,1.0
P0021,9,96.6,74.6,100.0,5.8,1.0
P0021,10,98.3,76.2,75.5,1.9,4.5
P0021,11,88.1,83.7,86.5,2.2,2.6
P0021,12,88.7,61.0,77.8,3.1,4.6
P0022,1,85.2,89.8,66.4,4.0,2.9
P0022,2,93.9,95.4,73.1,5.1,1.5
P0022,3,90.0,82.9,78.6,2.1,3.7
P0022,4,93.7,80.0,56.0,1.0,5.0
P0022,5,84.9,89.2,87.9,3.4,1.6
P0022,6,93.7,78.3,81.5,1.9,3.8
P0022,7,92.0,95.7,78.7,3.7,2.0
P0022,8,91.9,89.7,74.3,5.8,1.0
P0022,9,86.4,88.9,80.8,5.2,4.1
P0022,10,96.1,87.4,79.6,5.5,3.8
P0022,11,93.5,97.7,77.3,1.0,2.1
P0022,12,84.4,83.8,100.0,3.6,3.9
P0023,1,92.4,78.7,99.9,3.9,3.6
