personnel_id,deployment_days,deployment_frequency,operational_exposure
P0001,77,1,1
P0002,97,3,10
P0003,101,3,6
P0004,69,1,6
P0005,42,2,10
P0006,118,1,5
P0007,20,2,5
P0008,37,0,8
P0009,37,1,6
P0010,104,2,10
P0011,11,1,2
P0012,7,2,7
P0013,96,2,3
P0014,31,3,8
P0015,23,0,8
P0016,27,0,7
P0017,37,0,3
P0018,85,2,7
P0019,31,0,4
P0020,92,1,7
P0021,72,2,6
P0022,114,1,9
P0023,86,1,9
P0024,98,2,7
P0025,22,3,3
P0026,13,6,1
P0027,15,0,10
P0028,32,0,3
P0029,21,1,5
P0030,74,0,10
P0031,43,3,2
P0032,117,2,2
P0033,83,2,4
P0034,42,2,2
P0035,106,1,2
P0036,3,1,7
P0037,85,2,4
P0038,34,2,6
P0039,47,2,7
P0040,31,0,6
P0041,13,1,5
P0042,116,4,10
P0043,58,1,9
P0044,65,1,8
P0045,47,1,9
P0046,120,4,7
P0047,21,4,6
P0048,5,4,9
P0049,61,0,8
P0050,8,4,7
P0051,97,0,4
P0052,66,0,2
P0053,80,1,6
P0054,65,0,5
P0055,103,3,2
P0056,5,3,8
P0057,7,2,8
P0058,95,2,4
P0059,2,3,10
P0060,102,2,10
P0061,21,2,2
P0062,81,1,10
P0063,10,4,10
P0064,99,4,7
P0065,113,1,8
P0066,55,0,8
P0067,4,1,2
P0068,32,2,7
P0069,114,1,10
P0070,25,2,2
P0071,31,1,5
P0072,67,4,5
P0073,18,0,9
P0074,53,2,8
P0075,79,0,6
P0076,4,4,5
P0077,21,1,4
P0078,64,1,6
P0079,67,1,7
P0080,111,4,1
P0081,15,4,1
P0082,31,2,5
P0083,63,2,8
P0084,8,0,2
P0085,67,2,2
P0086,104,4,6
P0087,63,1,7
P0088,29,2,1
P0089,114,2,5
P0090,5,2,8
P0091,40,0,6
P0092,8,4,7
P0093,19,2,10
P0094,56,3,5
P0095,59,1,8
P0096,62,2,1
P0097,119,0,9
P0098,63,3,4
P0099,10,4,9
P0100,5,4,3
P0101,29,3,3
P0102,120,2,4
P0103,109,7,4
P0104,42,2,7
P0105,41,1,7
P0106,42,2,8
P0107,28,0,1
P0108,112,0,8
P0109,115,3,8
P0110,38,2,4
P0111,80,1,1
P0112,82,1,1
P0113,103,0,9
P0114,58,1,2
P0115,2,3,8
P0116,42,2,3
P0117,82,2,9
P0118,40,2,9
P0119,69,2,2
P0120,71,2,5
P0121,120,2,9
P0122,49,2,2
P0123,26,1,7
P0124,60,2,1
P0125,31,1,2
P0126,31,1,2
P0127,92,4,6
P0128,54,6,10
P0129,18,2,2
P0130,57,0,7
P0131,25,0,3
P0132,34,2,10
P0133,2,3,10
P0134,56,0,9
P0135,61,3,7
P0136,25,1,4
P0137,106,1,7
P0138,110,3,3
P0139,84,0,1
P0140,69,2,9
P0141,76,5,7
P0142,72,3,2
P0143,94,0,6
P0144,75,5,4
P0145,117,1,10
P0146,103,0,2
P0147,115,0,7
P0148,74,5,5
P0149,79,0,3
P0150,79,4,2
P0151,102,5,10
P0152,68,1,5
P0153,110,1,3
P0154,14,0,1
P0155,37,1,1
P0156,2,0,8
P0157,69,4,6
P0158,5,1,10
P0159,60,3,2
P0160,30,1,10
P0161,54,6,8
P0162,11,1,2
P0163,77,4,1
P0164,92,3,6
P0165,63,5,5
P0166,81,2,5
P0167,92,2,5
P0168,12,0,8
P0169,42,1,1
P0170,38,0,6
P0171,25,3,2
P0172,21,1,8
P0173,3,0,4
P0174,38,4,5
P0175,86,2,6
P0176,101,0,3
P0177,80,3,8
P0178,72,2,8
P0179,34,1,8
P0180,48,2,6
P0181,77,4,5
P0182,49,5,8
P0183,29,0,8
P0184,101,2,6
P0185,95,1,3
P0186,29,0,1
P0187,45,3,4
P0188,29,3,10
P0189,85,5,10
P0190,116,3,4
P0191,51,2,6
P0192,51,3,3
P0193,3,2,2
P0194,25,1,1
P0195,43,3,6
P0196,44,2,4
P0197,51,4,3
P0198,93,0,5
P0199,118,2,8
P0200,93,5,10
P0201,24,1,2
P0202,108,4,5
P0203,15,3,2
P0204,54,1,10
P0205,6,2,6
P0206,19,1,5
P0207,81,3,1
P0208,26,2,4
P0209,52,4,10
P0210,57,2,3
P0211,106,2,4
P0212,90,1,2
P0213,8,1,2
P0214,71,1,9
P0215,94,1,7
P0216,37,2,3
P0217,90,3,9
P0218,1,1,9
P0219,104,1,7
P0220,49,4,2
P0221,36,2,5
P0222,110,1,5
P0223,83,0,9
P0224,4,4,4
P0225,102,2,8
P0226,0,2,5
P0227,4,2,3
P0228,114,6,2
P0229,90,2,4
P0230,115,2,1
P0231,55,1,1
P0232,52,1,2
P0233,11,1,7
P0234,14,4,1
P0235,106,1,9
P0236,40,2,2
P0237,105,2,1
P0238,43,3,3
P0239,120,2,6
P0240,10,2,10
P0241,9,4,1
P0242,37,2,10
P0243,69,3,4
P0244,115,0,10
P0245,45,2,7
P0246,69,1,3
P0247,73,0,10
P0248,41,2,6
P0249,112,3,1
P0250,117,1,8
P0251,62,2,5
P0252,28,2,7
P0253,71,2,5
P0254,27,2,1
P0255,54,1,10
P0256,22,2,10
P0257,46,0,9
P0258,12,1,10
P0259,65,2,5
