personnel_id,age,service_years,rank_level,transfer_frequency,training_hours
P0001,27,4,Senior,2,11.1
P0002,44,3,Junior,2,14.0
P0003,48,21,Intermediate,1,10.1
P0004,30,3,Junior,3,8.3
P0005,29,7,Junior,2,13.1
P0006,32,8,Junior,1,5.6
P0007,28,4,Junior,1,10.9
P0008,36,15,Junior,0,13.5
P0009,45,8,Intermediate,2,10.4
P0010,33,9,Junior,0,11.7
P0011,45,7,Junior,1,13.7
P0012,47,5,Senior,3,12.7
P0013,21,1,Junior,0,14.7
P0014,28,6,Senior,1,6.4
P0015,34,3,Intermediate,2,0.0
P0016,30,3,Junior,1,13.3
P0017,24,2,Junior,1,16.5
P0018,48,2,Intermediate,0,13.3
P0019,41,6,Intermediate,0,13.9
P0020,46,23,Senior,0,9.2
P0021,21,1,Junior,1,4.6
P0022,26,3,Junior,0,5.9
P0023,39,10,Junior,1,17.5
P0024,37,14,Senior,1,10.7
P0025,22,1,Intermediate,0,9.7
P0026,43,5,Junior,2,11.4
P0027,46,6,Junior,2,6.8
P0028,40,2,Intermediate,1,15.5
P0029,21,1,Junior,1,8.3
P0030,24,3,Intermediate,1,13.4
P0031,27,4,Senior,1,11.9
P0032,45,18,Senior,1,13.7
P0033,48,16,Intermediate,1,8.7
P0034,32,5,Senior,1,9.2
P0035,23,1,Intermediate,4,11.2
P0036,49,18,Junior,2,7.1
P0037,29,4,Intermediate,0,14.6
P0038,28,7,Intermediate,0,6.7
P0039,36,12,Intermediate,1,11.3
P0040,39,8,Intermediate,2,10.2
P0041,21,1,Junior,1,10.2
P0042,37,12,Senior,2,9.5
P0043,29,5,Senior,3,6.6
P0044,43,1,Junior,0,3.9
P0045,45,10,Senior,2,10.2
P0046,22,1,Junior,1,5.4
P0047,42,16,Intermediate,0,3.8
P0048,44,13,Junior,0,8.0
P0049,24,1,Junior,0,7.8
P0050,39,15,Junior,0,9.5
P0051,43,22,Junior,0,8.3
P0052,30,6,Junior,1,12.4
P0053,28,5,Junior,3,16.7
P0054,28,4,Junior,2,7.0
P0055,44,19,Junior,0,12.0
P0056,41,1,Junior,0,13.5
P0057,22,1,Junior,0,11.1
P0058,25,2,Intermediate,0,19.0
P0059,46,16,Junior,0,7.3
P0060,35,1,Junior,1,8.9
P0061,36,10,Intermediate,1,18.5
P0062,46,10,Senior,1,8.0
P0063,30,3,Intermediate,2,10.8
P0064,37,12,Intermediate,2,7.6
P0065,48,1,Intermediate,2,11.1
P0066,37,10,Junior,1,7.5
P0067,22,1,Junior,1,12.1
P0068,44,4,Junior,2,9.3
P0069,44,3,Senior,1,7.3
P0070,50,5,Junior,2,14.6
P0071,50,17,Intermediate,1,7.6
P0072,24,1,Senior,0,8.8
P0073,27,4,Senior,2,2.8
P0074,45,20,Intermediate,3,8.2
P0075,30,7,Senior,0,11.3
P0076,31,2,Senior,4,16.7
P0077,28,2,Junior,1,3.7
P0078,28,5,Junior,4,10.3
P0079,39,12,Intermediate,2,8.8
P0080,48,26,Intermediate,3,10.0
P0081,48,25,Junior,0,8.6
P0082,26,2,Junior,1,11.8
P0083,41,16,Intermediate,1,11.9
P0084,38,15,Intermediate,1,10.2
P0085,41,3,Senior,0,9.6
P0086,48,21,Junior,0,13.9
P0087,46,8,Junior,1,11.4
P0088,21,1,Junior,1,17.5
P0089,33,3,Intermediate,3,14.7
P0090,35,1,Junior,1,8.1
P0091,47,17,Intermediate,1,9.6
P0092,26,4,Intermediate,5,9.8
P0093,37,5,Intermediate,0,10.5
P0094,50,1,Intermediate,1,12.1
P0095,28,7,Intermediate,2,10.7
P0096,25,2,Senior,1,14.6
P0097,35,7,Intermediate,2,14.2
P0098,50,15,Junior,1,3.0
P0099,26,1,Intermediate,1,3.2
P0100,44,5,Senior,1,9.8
P0101,31,3,Intermediate,1,16.4
P0102,24,1,Senior,1,6.7
P0103,38,5,Junior,0,10.2
P0104,25,1,Junior,1,8.0
P0105,46,13,Junior,0,17.9
P0106,44,11,Senior,0,9.2
P0107,46,4,Intermediate,1,7.8
P0108,42,14,Intermediate,1,5.1
P0109,33,10,Junior,0,12.3
P0110,34,11,Intermediate,0,11.2
P0111,46,6,Intermediate,0,7.0
P0112,30,7,Junior,0,4.3
P0113,46,12,Junior,0,1.3
P0114,29,5,Intermediate,2,8.4
P0115,28,1,Intermediate,1,10.9
P0116,47,24,Intermediate,0,13.4
P0117,45,1,Junior,0,9.2
P0118,50,11,Junior,1,0.9
P0119,29,7,Junior,0,10.7
P0120,31,4,Junior,2,13.6
P0121,50,25,Intermediate,1,8.3
P0122,46,22,Intermediate,0,12.0
P0123,40,17,Intermediate,2,13.1
P0124,33,11,Intermediate,1,10.0
P0125,25,3,Intermediate,0,7.7
P0126,25,1,Intermediate,1,11.0
P0127,43,3,Junior,3,10.7
P0128,32,3,Junior,2,10.4
P0129,28,3,Intermediate,0,8.7
P0130,25,3,Intermediate,1,8.7
P0131,33,10,Junior,1,7.3
P0132,26,1,Intermediate,1,1.1
P0133,21,1,Junior,1,11.0
P0134,26,3,Intermediate,0,3.9
P0135,40,15,Senior,1,13.3
P0136,47,23,Junior,0,14.0
P0137,22,1,Intermediate,1,15.1
P0138,25,1,Junior,2,8.2
P0139,39,4,Intermediate,0,5.8
P0140,30,8,Intermediate,1,7.9
P0141,34,11,Junior,1,9.2
P0142,48,11,Senior,2,10.2
P0143,28,7,Junior,1,16.4
P0144,28,1,Senior,1,8.0
P0145,41,14,Junior,1,5.8
P0146,35,5,Junior,1,7.1
P0147,45,21,Intermediate,0,14.2
P0148,26,2,Intermediate,2,9.0
P0149,47,12,Senior,0,5.2
P0150,41,1,Junior,1,11.1
P0151,48,18,Intermediate,0,6.8
P0152,49,8,Intermediate,1,9.3
P0153,43,19,Junior,1,20.3
P0154,38,1,Intermediate,1,5.6
