personnel_id,leave_days,days_since_last_leave,leave_frequency
P0001,1,10,1
P0002,12,8,4
P0003,8,55,3
P0004,15,41,1
P0005,2,49,4
P0006,6,81,1
P0007,12,18,0
P0008,7,75,1
P0009,8,58,2
P0010,7,53,1
P0011,10,88,1
P0012,1,25,3
P0013,11,59,2
P0014,0,72,2
P0015,3,10,1
P0016,5,64,0
P0017,2,65,0
P0018,0,7,1
P0019,13,64,3
P0020,6,86,1
P0021,12,64,3
P0022,14,49,2
P0023,6,13,2
P0024,14,39,1
P0025,7,42,4
P0026,13,74,2
P0027,9,77,0
P0028,3,49,4
P0029,9,57,3
P0030,1,8,2
P0031,2,15,2
P0032,15,18,0
P0033,4,29,3
P0034,11,53,3
P0035,5,22,0
P0036,10,8,3
P0037,9,36,4
P0038,14,56,2
P0039,9,19,3
P0040,13,58,2
P0041,14,71,1
P0042,7,67,4
P0043,0,20,0
P0044,12,72,1
P0045,15,23,1
P0046,12,64,3
P0047,14,36,4
P0048,1,84,0
P0049,1,68,3
P0050,7,32,4
P0051,9,77,1
P0052,5,32,1
P0053,11,64,2
P0054,6,29,4
P0055,5,29,1
P0056,5,50,2
P0057,11,8,2
P0058,13,28,0
P0059,7,88,0
P0060,13,72,3
P0061,8,25,2
P0062,1,74,3
P0063,5,39,2
P0064,0,77,0
P0065,10,5,1
P0066,2,85,3
P0067,10,49,2
P0068,2,81,3
P0069,11,62,1
P0070,6,32,4
P0071,1,70,4
P0072,15,76,4
P0073,10,49,3
P0074,6,76,4
P0075,9,38,1
P0076,4,20,3
P0077,13,56,2
P0078,8,76,3
P0079,6,44,1
P0080,7,40,3
P0081,6,45,0
P0082,0,75,3
P0083,9,28,4
P0084,0,22,1
P0085,13,23,1
P0086,8,11,1
P0087,6,32,3
P0088,9,85,4
P0089,4,77,3
P0090,3,26,2
P0091,1,14,3
P0092,9,45,4
P0093,13,55,0
P0094,0,60,4
P0095,6,28,2
P0096,11,85,0
P0097,6,53,3
P0098,14,78,4
P0099,9,46,2
P0100,15,79,1
P0101,10,57,1
P0102,7,79,3
P0103,7,55,3
P0104,4,57,3
P0105,4,17,0
P0106,14,13,2
P0107,3,57,0
P0108,2,55,2
P0109,15,44,0
P0110,13,62,2
P0111,14,35,1
P0112,9,46,2
P0113,12,70,0
P0114,0,78,1
P0115,1,37,3
P0116,4,61,0
P0117,10,88,1
P0118,13,51,1
P0119,8,8,2
P0120,12,87,4
P0121,6,16,1
P0122,4,27,2
P0123,2,27,3
P0124,1,16,4
P0125,2,31,2
P0126,13,71,4
P0127,15,56,0
P0128,2,37,3
P0129,4,39,3
P0130,0,49,4
P0131,3,54,1
P0132,13,74,1
P0133,14,38,3
P0134,12,88,3
P0135,10,68,0
P0136,12,31,0
P0137,12,44,2
P0138,13,62,3
P0139,13,89,2
P0140,10,63,0
P0141,0,37,1
P0142,12,58,1
P0143,3,58,1
P0144,3,21,0
P0145,9,78,0
P0146,6,52,2
P0147,15,53,2
P0148,8,28,3
P0149,3,57,2
P0150,9,30,3
P0151,1,7,1
P0152,8,72,1
P0153,6,86,4
P0154,8,64,3
P0155,10,37,1
P0156,1,27,2
P0157,8,87,4
P0158,4,63,3
P0159,4,75,2
P0160,11,59,3
P0161,13,19,4
P0162,0,58,4
P0163,12,85,4
P0164,10,85,2
P0165,3,16,1
P0166,6,54,2
P0167,3,80,0
P0168,7,86,2
P0169,10,13,0
P0170,5,55,0
P0171,7,10,3
P0172,2,17,1
P0173,1,81,4
P0174,14,12,3
P0175,7,23,0
P0176,9,36,4
P0177,15,27,2
P0178,8,75,1
P0179,2,6,3
P0180,6,80,3
P0181,3,21,0
P0182,3,7,3
P0183,6,22,0
P0184,10,71,4
P0185,0,65,1
P0186,2,21,0
P0187,0,31,3
P0188,14,54,4
P0189,0,32,0
P0190,4,28,3
P0191,2,24,3
P0192,5,72,4
P0193,11,66,4
P0194,7,15,3
P0195,4,48,3
P0196,5,88,1
P0197,10,79,4
P0198,0,21,3
P0199,13,41,3
P0200,5,54,4
P0201,12,42,4
P0202,5,28,1
P0203,12,36,1
P0204,7,34,4
P0205,3,55,1
P0206,8,59,0
P0207,2,35,3
P0208,2,58,4
P0209,1,24,3
P0210,1,89,4
P0211,14,40,3
P0212,11,24,4
P0213,3,50,4
P0214,1,74,0
P0215,9,22,2
P0216,15,38,2
P0217,7,15,1
P0218,0,51,2
P0219,7,44,3
P0220,11,89,3
P0221,11,63,1
P0222,5,90,3
P0223,7,45,3
P0224,0,67,0
P0225,12,76,1
P0226,9,81,2
P0227,7,51,4
P0228,6,34,4
P0229,7,89,0
P0230,7,11,1
P0231,10,16,3
P0232,11,23,3
P0233,2,80,3
P0234,10,74,2
P0235,15,13,0
P0236,1,14,1
P0237,0,86,1
P0238,6,36,2
P0239,5,74,2
P0240,14,38,2
P0241,13,9,2
P0242,0,58,1
P0243,0,15,1
P0244,9,25,0
P0245,13,50,2
P0246,10,78,3
P0247,4,41,4
P0248,13,62,0
P0249,8,73,3
P0250,6,51,3
P0251,15,56,4
P0252,2,12,0
P0253,4,76,2
P0254,12,54,2
P0255,11,48,4
P0256,3,63,1
P0257,15,32,4
P0258,11,48,2
P0259,14,27,4
P0260,14,25,1
P0261,6,84,2
P0262,5,77,1
P0263,1,17,4
P0264,7,14,2
P0265,0,25,0
P0266,15,47,0
P0267,5,80,1
P0268,10,86,1
P0269,15,53,0
P0270,3,25,3
P0271,5,60,2
P0272,14,15,1
P0273,0,49,1
P0274,13,63,2
P0275,13,56,1
P0276,15,21,4
P0277,4,50,0
P0278,12,10,0
P0279,0,8,1
P0280,15,31,1
P0281,12,67,0
P0282,10,32,4
P0283,15,32,2
P0284,9,86,3
P0285,5,45,1
P0286,3,59,2
P0287,4,26,0
P0288,15,61,1
P0289,8,47,1
P0290,1,6,2
P0291,3,12,0
P0292,0,72,1
P0293,15,65,2
P0294,9,54,1
P0295,8,26,0
P0296,13,9,2
P0297,14,30,0
P0298,11,21,1
P0299,1,43,1
P0300,14,37,2
P0301,7,30,3
P0302,2,61,4
P0303,4,9,0
P0304,13,86,0
P0305,8,65,4
P0306,3,70,4
P0307,8,44,1
P0308,3,74,2
P0309,13,29,1
P0310,9,47,3
P0311,15,32,2
P0312,8,65,3
P0313,4,15,4
P0314,15,68,4
P0315,1,13,2
P0316,15,14,3
P0317,2,22,3
P0318,14,15,1
P0319,10,25,1
P0320,12,49,0
P0321,12,68,2
P0322,14,32,3
P0323,3,45,3
P0324,3,73,3
P0325,0,9,0
P0326,9,76,0
P0327,0,60,4
P0328,9,54,3
P0329,6,18,2
P0330,10,9,3
P0331,4,90,3
P0332,9,12,2
P0333,0,64,2
P0334,8,14,1
P0335,3,79,3
P0336,10,11,4
P0337,11,79,4
P0338,6,48,1
P0339,7,90,4
P0340,14,48,0
P0341,13,10,4
P0342,10,61,2
P0343,15,74,0
P0344,11,59,3
P0345,2,28,2
P0346,2,65,1
P0347,2,64,3
P0348,7,87,2
P0349,14,56,4
P0350,5,5,3
P0351,8,87,1
P0352,10,43,2
P0353,10,34,3
P0354,3,19,0
P0355,15,29,0
P0356,2,30,4
P0357,11,10,2
P0358,12,21,4
P0359,13,8,3
P0360,6,20,4
P0361,6,34,0
P0362,7,43,1
P0363,1,79,3
P0364,2,65,3
P0365,2,35,4
P0366,12,62,2
P0367,14,61,3
P0368,11,14,3
P0369,1,60,3
P0370,2,65,2
P0371,0,15,4
P0372,4,49,3
P0373,12,52,3
P0374,13,32,4
P0375,8,63,4
P0376,8,76,2
P0377,1,10,4
P0378,1,55,2
P0379,12,53,4
P0380,7,13,4
P0381,7,77,3
P0382,8,15,1
P0383,12,39,1
P0384,10,47,4
P0385,13,64,2
P0386,12,29,1
P0387,14,9,3
P0388,14,9,4
P0389,15,53,1
P0390,6,34,1
P0391,11,18,1
P0392,8,85,0
P0393,5,9,4
P0394,4,43,2
P0395,8,88,2
P0396,4,29,1
P0397,3,40,4
P0398,1,51,2
P0399,15,63,3
P0400,10,71,4
P0401,10,40,0
P0402,2,60,3
P0403,2,86,4
P0404,6,82,2
P0405,11,5,2
P0406,7,70,3
P0407,12,31,3
P0408,14,10,4
P0409,6,25,4
P0410,15,74,0
P0411,11,63,1
P0412,10,5,1
P0413,8,84,2
P0414,9,18,2
P0415,3,44,0
P0416,3,83,3
P0417,2,41,4
P0418,9,29,2
P0419,2,48,3
P0420,6,33,1
P0421,9,61,3
P0422,8,26,3
P0423,5,10,2
P0424,15,87,3
P0425,5,53,0
P0426,12,27,0
P0427,4,78,2
P0428,7,58,2
P0429,13,22,1
P0430,3,41,0
P0431,13,34,3
P0432,10,52,2
P0433,15,36,4
P0434,3,78,2
P0435,14,48,1
P0436,6,18,0
P0437,5,74,2
P0438,12,26,3
P0439,12,22,3
P0440,5,90,0
P0441,1,61,4
