personnel_id,week,sleep_hours,fatigue_score,stress_score,mood_score,emotional_exhaustion
P0001,1,6.1,5.6,5.4,6.1,5.5
P0001,2,6.5,3.3,5.3,6.7,4.6
P0001,3,7.0,3.8,4.0,8.2,5.3
P0001,4,7.8,2.0,3.8,7.3,3.3
P0001,5,7.7,3.6,2.2,6.6,3.9
P0001,6,7.3,4.3,1.0,6.4,2.2
P0001,7,6.9,3.0,1.0,9.4,1.7
P0001,8,6.8,3.6,6.1,6.2,5.7
P0001,9,7.0,4.0,2.3,8.0,3.5
P0001,10,6.5,3.2,3.3,7.4,3.2
P0001,11,8.3,3.1,4.9,9.0,5.5
P0001,12,5.7,5.3,4.9,3.9,6.0
P0002,1,5.2,6.7,5.9,4.3,4.9
P0002,2,6.1,3.9,4.2,5.7,3.7
P0002,3,7.3,2.1,3.0,7.0,3.3
P0002,4,5.2,6.1,3.0,5.4,4.0
P0002,5,6.7,3.1,2.0,5.4,3.3
P0002,6,6.2,5.3,3.5,6.6,4.5
P0002,7,7.8,3.6,5.1,5.6,4.9
P0002,8,7.0,3.6,2.8,5.5,3.4
P0002,9,7.5,3.0,7.8,3.7,6.4
P0002,10,6.2,3.9,6.8,4.2,5.9
P0002,11,7.7,2.6,3.7,6.8,5.2
P0002,12,6.5,4.4,5.4,4.7,4.8
P0003,1,7.2,4.7,7.9,4.3,7.5
P0003,2,7.0,4.1,5.0,5.3,4.3
P0003,3,6.9,4.4,2.8,5.7,4.4
P0003,4,8.0,3.5,5.2,5.5,5.2
P0003,5,7.4,3.9,7.8,4.5,5.7
P0003,6,7.2,5.6,3.0,6.7,3.4
P0003,7,6.5,6.1,7.1,4.3,8.9
P0003,8,7.6,4.8,6.1,6.0,5.5
P0003,9,6.1,6.3,6.1,6.5,5.7
P0003,10,6.2,4.6,5.2,5.3,5.8
P0003,11,7.8,3.4,6.4,3.3,4.4
P0003,12,7.3,3.8,4.8,6.5,4.6
P0004,1,7.8,3.0,4.9,5.4,2.8
P0004,2,8.1,2.9,4.9,6.4,3.7
P0004,3,6.3,5.3,3.6,4.8,3.7
P0004,4,8.1,1.2,3.5,5.4,3.4
P0004,5,7.3,1.8,3.1,4.6,1.6
P0004,6,7.2,3.5,4.6,5.1,4.9
P0004,7,6.6,4.1,6.0,7.8,4.1
P0004,8,7.4,3.8,3.6,5.4,3.1
